Fund Name,Ticker,Shares,Unit Price,Market Value,Employee Contributions,Employer Contributions,As Of
Vanguard Total Stock Market Index Fund,VTI,60.5,195.40,11821.70,6000,3000,2020-12-31
Vanguard Total Bond Market Index Fund,BND,58.4,87.60,5115.84,3900,1950,2020-12-31
Vanguard Total International Stock Index Fund,VXUS,40.8,62.40,2545.92,1800,900,2020-12-31
Vanguard Real Estate Index Fund,VNQ,21.2,80.10,1698.12,1200,600,2020-12-31
Vanguard Small Cap Index Fund,VB,4.8,185.40,889.92,400,200,2020-12-31
Vanguard Total Stock Market Index Fund,VTI,68.2,212.40,14485.68,6600,3300,2021-03-31
Vanguard Total Bond Market Index Fund,BND,62.5,84.40,5275.00,4300,2150,2021-03-31
Vanguard Total International Stock Index Fund,VXUS,46.1,65.20,3005.72,2000,1000,2021-03-31
Vanguard Real Estate Index Fund,VNQ,25.4,92.10,2339.34,1400,700,2021-03-31
Vanguard Small Cap Index Fund,VB,8.5,212.40,1805.40,800,400,2021-03-31
Vanguard Total Stock Market Index Fund,VTI,75.8,225.10,17062.58,7200,3600,2021-06-30
Vanguard Total Bond Market Index Fund,BND,66.4,85.10,5650.64,4700,2350,2021-06-30
Vanguard Total International Stock Index Fund,VXUS,51.2,64.80,3317.76,2200,1100,2021-06-30
Vanguard Real Estate Index Fund,VNQ,29.6,99.40,2942.24,1600,800,2021-06-30
Vanguard Small Cap Index Fund,VB,12.3,224.50,2761.35,1200,600,2021-06-30
Vanguard Total Stock Market Index Fund,VTI,83.4,228.40,19048.56,7800,3900,2021-09-30
Vanguard Total Bond Market Index Fund,BND,70.8,85.30,6039.24,5100,2550,2021-09-30
Vanguard Total International Stock Index Fund,VXUS,56.4,62.10,3502.44,2400,1200,2021-09-30
Vanguard Real Estate Index Fund,VNQ,34.1,98.20,3348.62,1800,900,2021-09-30
Vanguard Small Cap Index Fund,VB,16.2,228.10,3695.22,1600,800,2021-09-30
Vanguard Total Stock Market Index Fund,VTI,91.2,242.10,22079.52,8400,4200,2021-12-31
Vanguard Total Bond Market Index Fund,BND,74.5,84.40,6287.80,5500,2750,2021-12-31
Vanguard Total International Stock Index Fund,VXUS,61.8,64.50,3986.10,2600,1300,2021-12-31
Vanguard Real Estate Index Fund,VNQ,38.4,116.40,4469.76,2000,1000,2021-12-31
Vanguard Small Cap Index Fund,VB,20.1,238.40,4791.84,2000,1000,2021-12-31
Vanguard Growth Index Fund,VUG,4.2,335.40,1408.68,500,250,2021-12-31
Vanguard Total Stock Market Index Fund,VTI,98.5,221.40,21807.90,9000,4500,2022-03-31
Vanguard Total Bond Market Index Fund,BND,78.2,79.40,6209.08,5900,2950,2022-03-31
Vanguard Total International Stock Index Fund,VXUS,67.2,61.40,4126.08,2800,1400,2022-03-31
Vanguard Real Estate Index Fund,VNQ,42.6,112.40,4788.24,2200,1100,2022-03-31
Vanguard Small Cap Index Fund,VB,24.2,222.10,5374.82,2400,1200,2022-03-31
Vanguard Growth Index Fund,VUG,8.4,302.40,2540.16,1000,500,2022-03-31
Vanguard Total Stock Market Index Fund,VTI,106.1,198.40,21050.24,9600,4800,2022-06-30
Vanguard Total Bond Market Index Fund,BND,82.4,75.20,6196.48,6300,3150,2022-06-30
Vanguard Total International Stock Index Fund,VXUS,72.8,52.40,3814.72,3000,1500,2022-06-30
Vanguard Real Estate Index Fund,VNQ,46.8,90.10,4216.68,2400,1200,2022-06-30
Vanguard Small Cap Index Fund,VB,28.4,189.40,5378.96,2600,1300,2022-06-30
Vanguard Growth Index Fund,VUG,12.5,238.40,2980.00,1400,700,2022-06-30
Vanguard Total Stock Market Index Fund,VTI,113.6,178.40,20266.24,10200,5100,2022-09-30
Vanguard Total Bond Market Index Fund,BND,86.8,72.40,6284.32,6700,3350,2022-09-30
Vanguard Total International Stock Index Fund,VXUS,78.4,48.10,3771.04,3200,1600,2022-09-30
Vanguard Real Estate Index Fund,VNQ,51.2,80.20,4106.24,2600,1300,2022-09-30
Vanguard Small Cap Index Fund,VB,32.5,178.40,5798.00,2800,1400,2022-09-30
Vanguard Growth Index Fund,VUG,16.7,225.30,3762.51,1800,900,2022-09-30
Vanguard Total Stock Market Index Fund,VTI,121.4,198.50,24097.90,10800,5400,2022-12-31
Vanguard Total Bond Market Index Fund,BND,91.2,72.10,6575.52,7100,3550,2022-12-31
Vanguard Total International Stock Index Fund,VXUS,84.1,55.20,4642.32,3400,1700,2022-12-31
Vanguard Real Estate Index Fund,VNQ,55.4,82.40,4564.96,2800,1400,2022-12-31
Vanguard Small Cap Index Fund,VB,36.8,188.10,6922.08,3000,1500,2022-12-31
Vanguard Growth Index Fund,VUG,21.0,238.40,5006.40,2200,1100,2022-12-31
Vanguard Total Stock Market Index Fund,VTI,129.2,212.40,27442.08,11400,5700,2023-03-31
Vanguard Total Bond Market Index Fund,BND,95.6,73.40,7017.04,7500,3750,2023-03-31
Vanguard Total International Stock Index Fund,VXUS,89.8,58.20,5226.36,3600,1800,2023-03-31
Vanguard Real Estate Index Fund,VNQ,59.5,82.10,4884.95,3000,1500,2023-03-31
Vanguard Small Cap Index Fund,VB,41.2,194.20,8001.04,3200,1600,2023-03-31
Vanguard Growth Index Fund,VUG,25.4,265.10,6733.54,2600,1300,2023-03-31
Vanguard Total Stock Market Index Fund,VTI,137.1,220.40,30217.84,12000,6000,2023-06-30
Vanguard Total Bond Market Index Fund,BND,100.2,71.80,7194.36,7900,3950,2023-06-30
Vanguard Total International Stock Index Fund,VXUS,95.4,60.10,5733.54,3800,1900,2023-06-30
Vanguard Real Estate Index Fund,VNQ,63.8,84.40,5384.72,3200,1600,2023-06-30
Vanguard Small Cap Index Fund,VB,45.5,202.40,9209.20,3400,1700,2023-06-30
Vanguard Growth Index Fund,VUG,30.1,290.30,8738.03,3000,1500,2023-06-30
Vanguard Total Stock Market Index Fund,VTI,145.0,232.40,33698.00,12600,6300,2023-12-31
Vanguard Total Bond Market Index Fund,BND,104.8,70.90,7430.32,8300,4150,2023-12-31
Vanguard Total International Stock Index Fund,VXUS,101.2,58.40,5910.08,4000,2000,2023-12-31
Vanguard Real Estate Index Fund,VNQ,68.1,82.10,5591.01,3400,1700,2023-12-31
Vanguard Small Cap Index Fund,VB,49.8,198.50,9885.30,3600,1800,2023-12-31
Vanguard Growth Index Fund,VUG,34.8,322.40,11219.52,3400,1700,2023-12-31
Vanguard Total Stock Market Index Fund,VTI,153.2,265.40,40659.28,13200,6600,2024-06-30
Vanguard Total Bond Market Index Fund,BND,109.4,71.80,7855.12,8700,4350,2024-06-30
Vanguard Total International Stock Index Fund,VXUS,107.0,62.40,6676.80,4200,2100,2024-06-30
Vanguard Real Estate Index Fund,VNQ,72.4,84.50,6117.80,3600,1800,2024-06-30
Vanguard Small Cap Index Fund,VB,54.2,215.10,11658.42,3800,1900,2024-06-30
Vanguard Growth Index Fund,VUG,39.5,360.20,14227.90,3800,1900,2024-06-30
Vanguard Total Stock Market Index Fund,VTI,161.4,278.40,44935.36,13800,6900,2024-12-31
Vanguard Total Bond Market Index Fund,BND,114.0,72.30,8242.20,9100,4550,2024-12-31
Vanguard Total International Stock Index Fund,VXUS,112.8,65.20,7354.56,4400,2200,2024-12-31
Vanguard Real Estate Index Fund,VNQ,76.5,88.10,6739.65,3800,1900,2024-12-31
Vanguard Small Cap Index Fund,VB,58.4,225.40,13163.36,4000,2000,2024-12-31
Vanguard Growth Index Fund,VUG,44.2,378.20,16716.44,4200,2100,2024-12-31
Vanguard Total Stock Market Index Fund,VTI,169.2,290.10,49074.92,14400,7200,2025-06-30
Vanguard Total Bond Market Index Fund,BND,118.4,72.10,8536.64,9500,4750,2025-06-30
Vanguard Total International Stock Index Fund,VXUS,118.5,68.40,8105.40,4600,2300,2025-06-30
Vanguard Real Estate Index Fund,VNQ,80.8,90.40,7304.32,4000,2000,2025-06-30
Vanguard Small Cap Index Fund,VB,62.5,232.40,14525.00,4200,2100,2025-06-30
Vanguard Growth Index Fund,VUG,48.8,395.10,19280.88,4600,2300,2025-06-30
Vanguard Total Stock Market Index Fund,VTI,177.1,298.40,52836.64,15000,7500,2025-12-31
Vanguard Total Bond Market Index Fund,BND,122.8,72.40,8890.72,9900,4950,2025-12-31
Vanguard Total International Stock Index Fund,VXUS,124.4,70.10,8720.44,4800,2400,2025-12-31
Vanguard Real Estate Index Fund,VNQ,85.0,92.10,7828.50,4200,2100,2025-12-31
Vanguard Small Cap Index Fund,VB,66.8,240.30,16052.04,4400,2200,2025-12-31
Vanguard Growth Index Fund,VUG,53.5,408.40,21849.40,5000,2500,2025-12-31
