Account name,Account number,Account type,Sub account,Description,Ticker,CUSIP,Quantity,Price,Value,Cost,Acquisition Date,Unit Cost,Acct Type
"Self-Directed-Ret","XXXX5678","Brokerage","","FORD MOTOR CO","F","345370860","6.882","113.63","782.00","2570.98","03/15/2022","373.58","Brokerage"
"Self-Directed","XXXX1234","Brokerage","","APPLE INC","AAPL","037833100","8.620","439.54","3788.83","516.17","04/16/2023","59.88","Brokerage"
"Self-Directed","XXXX9999","Brokerage","","MICROSOFT CORP","MSFT","594918104","11.979","176.91","2119.20","4401.92","05/17/2024","367.47","Brokerage"
"Self-Directed-Ret","XXXX5678","Brokerage","","ALPHABET INC CL A","GOOGL","02079K305","5.291","413.23","2186.40","1391.69","06/18/2025","263.03","Brokerage"
"Self-Directed","XXXX1234","Brokerage","","AMAZON COM INC","AMZN","023135106","16.890","436.01","7364.21","5290.45","07/19/2020","313.23","Brokerage"
"Self-Directed","XXXX9999","Brokerage","","NVIDIA CORP","NVDA","67066G104","15.109","432.76","6538.57","4301.68","08/20/2021","284.71","Brokerage"
"Self-Directed-Ret","XXXX5678","Brokerage","","WALT DISNEY CO","DIS","254687106","8.282","140.96","1167.43","2850.33","09/21/2022","344.16","Brokerage"
"Self-Directed","XXXX1234","Brokerage","","META PLATFORMS INC","META","30303M102","4.742","198.12","939.49","1224.57","10/22/2023","258.24","Brokerage"
"Self-Directed","XXXX9999","Brokerage","","VANGUARD S&P 500 ETF","VOO","922908363","12.823","341.73","4382.00","2482.79","11/23/2024","193.62","Brokerage"
"Self-Directed-Ret","XXXX5678","Brokerage","","VANGUARD TOTAL STOCK","VTI","922908769","20.857","309.31","6451.28","6610.63","12/24/2025","316.95","Brokerage"
"Self-Directed","XXXX1234","Brokerage","","SPDR S&P 500 ETF","SPY","78462F103","17.178","288.34","4953.10","6783.94","01/25/2020","394.92","Brokerage"
"Self-Directed","XXXX9999","Brokerage","","VANGUARD FTSE DEVELOPED MKTS","VEA","921943858","10.120","466.33","4719.26","1965.20","02/26/2021","194.19","Brokerage"
"Self-Directed-Ret","XXXX5678","Brokerage","","COCA-COLA CO","KO","191216100","8.015","130.78","1048.20","2255.50","03/27/2022","281.41","Brokerage"
"Self-Directed","XXXX1234","Brokerage","","INTEL CORP","INTC","458140100","19.197","369.19","7087.34","8125.51","04/28/2023","423.27","Brokerage"
"Self-Directed","XXXX9999","Brokerage","","JOHNSON & JOHNSON","JNJ","478160104","12.000","469.06","5628.72","4637.04","05/01/2024","386.42","Brokerage"
"Self-Directed-Ret","XXXX5678","Brokerage","","FORD MOTOR CO","F","345370860","14.757","167.88","2477.41","4981.08","06/02/2025","337.54","Brokerage"
"Self-Directed","XXXX1234","Brokerage","","APPLE INC","AAPL","037833100","15.800","103.17","1630.09","7003.98","07/03/2020","443.29","Brokerage"
"Self-Directed","XXXX9999","Brokerage","","MICROSOFT CORP","MSFT","594918104","3.464","462.41","1601.79","243.62","08/04/2021","70.33","Brokerage"
"Self-Directed-Ret","XXXX5678","Brokerage","","ALPHABET INC CL A","GOOGL","02079K305","6.081","83.11","505.39","1126.99","09/05/2022","185.33","Brokerage"
"Self-Directed","XXXX1234","Brokerage","","AMAZON COM INC","AMZN","023135106","11.986","52.77","632.50","1857.47","10/06/2023","154.97","Brokerage"
"Self-Directed","XXXX9999","Brokerage","","NVIDIA CORP","NVDA","67066G104","9.511","108.89","1035.65","1387.65","11/07/2024","145.90","Brokerage"
"Self-Directed-Ret","XXXX5678","Brokerage","","WALT DISNEY CO","DIS","254687106","6.990","438.96","3068.33","2270.28","12/08/2025","324.79","Brokerage"
"Self-Directed","XXXX1234","Brokerage","","META PLATFORMS INC","META","30303M102","12.755","330.49","4215.40","743.87","01/09/2020","58.32","Brokerage"
"Self-Directed","XXXX9999","Brokerage","","VANGUARD S&P 500 ETF","VOO","922908363","15.141","420.99","6374.21","4741.25","02/10/2021","313.14","Brokerage"
"Self-Directed-Ret","XXXX5678","Brokerage","","VANGUARD TOTAL STOCK","VTI","922908769","2.481","447.94","1111.34","138.74","03/11/2022","55.92","Brokerage"
"Self-Directed","XXXX1234","Brokerage","","SPDR S&P 500 ETF","SPY","78462F103","3.108","148.84","462.59","787.35","04/12/2023","253.33","Brokerage"
"Self-Directed","XXXX9999","Brokerage","","VANGUARD FTSE DEVELOPED MKTS","VEA","921943858","5.355","161.21","863.28","1456.77","05/13/2024","272.04","Brokerage"
"Self-Directed-Ret","XXXX5678","Brokerage","","COCA-COLA CO","KO","191216100","17.556","222.54","3906.91","4893.03","06/14/2025","278.71","Brokerage"
"Self-Directed","XXXX1234","Brokerage","","INTEL CORP","INTC","458140100","8.044","70.32","565.65","3539.52","07/15/2020","440.02","Brokerage"
"Self-Directed","XXXX9999","Brokerage","","JOHNSON & JOHNSON","JNJ","478160104","5.152","342.06","1762.29","631.69","08/16/2021","122.61","Brokerage"
"Self-Directed-Ret","XXXX5678","Brokerage","","FORD MOTOR CO","F","345370860","17.214","325.26","5599.03","5046.63","09/17/2022","293.17","Brokerage"
"Self-Directed","XXXX1234","Brokerage","","APPLE INC","AAPL","037833100","12.563","207.42","2605.82","3999.56","10/18/2023","318.36","Brokerage"
"Self-Directed","XXXX9999","Brokerage","","MICROSOFT CORP","MSFT","594918104","19.533","176.04","3438.59","7126.62","11/19/2024","364.85","Brokerage"
"Self-Directed-Ret","XXXX5678","Brokerage","","ALPHABET INC CL A","GOOGL","02079K305","6.456","418.61","2702.55","1286.68","12/20/2025","199.30","Brokerage"
"Self-Directed","XXXX1234","Brokerage","","AMAZON COM INC","AMZN","023135106","1.666","222.65","370.93","647.04","01/21/2020","388.38","Brokerage"
"Self-Directed","XXXX9999","Brokerage","","NVIDIA CORP","NVDA","67066G104","13.496","225.64","3045.24","4032.06","02/22/2021","298.76","Brokerage"
"Self-Directed-Ret","XXXX5678","Brokerage","","WALT DISNEY CO","DIS","254687106","10.281","165.09","1697.29","998.18","03/23/2022","97.09","Brokerage"
"Self-Directed","XXXX1234","Brokerage","","META PLATFORMS INC","META","30303M102","20.352","228.50","4650.43","7124.42","04/24/2023","350.06","Brokerage"
"Self-Directed","XXXX9999","Brokerage","","VANGUARD S&P 500 ETF","VOO","922908363","12.043","153.36","1846.91","5110.21","05/25/2024","424.33","Brokerage"
"Self-Directed-Ret","XXXX5678","Brokerage","","VANGUARD TOTAL STOCK","VTI","922908769","13.689","127.19","1741.10","1184.78","06/26/2025","86.55","Brokerage"
"Self-Directed","XXXX1234","Brokerage","","SPDR S&P 500 ETF","SPY","78462F103","13.621","337.47","4596.68","4132.75","07/27/2020","303.41","Brokerage"
FOOTNOTES,,,,,,,,,,,,,
A,"This security is held at average cost.",,,,,,,,,,,,
C,"This is a covered security.",,,,,,,,,,,,
